aggregation,family,subgroup,arm,metric,value,n_valid,n_total
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,f1_max,0.875,6,6
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,auprc,0.6277450824302276,6,6
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,vus_pr,0.8245391402116228,6,6
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.9,6,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.7999203183196242,6,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.8689566163659356,6,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,,0,6
subgroup11,NAB,NAB-Artificial,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,,0,6
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,f1_max,0.8081632653061224,7,7
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,auprc,0.5522219284812124,7,7
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,vus_pr,0.7683353143162233,7,7
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,anomaly_free_fp_rate,,0,7
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,anomaly_free_fp_count,,0,7
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,anomaly_free_mean_excess,,0,7
subgroup11,NAB,NAB-Traffic,FINAL_DEFAULT,anomaly_free_score_p95,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,f1_max,0.7555555555555555,7,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,auprc,0.5162376515428293,7,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,vus_pr,0.7291413654015804,7,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,anomaly_free_fp_rate,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,anomaly_free_fp_count,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,anomaly_free_mean_excess,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_POSITION,anomaly_free_score_p95,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,f1_max,0.7257575757575757,7,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,auprc,0.5274722433767469,7,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,vus_pr,0.7496742866031513,7,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,anomaly_free_fp_rate,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,anomaly_free_fp_count,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,anomaly_free_mean_excess,,0,7
subgroup11,NAB,NAB-Traffic,MATCH_FINAL_ROW,anomaly_free_score_p95,,0,7
subgroup11,NAB,NAB-Traffic,SCALE_P,f1_max,0.7911770768913626,7,7
subgroup11,NAB,NAB-Traffic,SCALE_P,auprc,0.49965824243751994,7,7
subgroup11,NAB,NAB-Traffic,SCALE_P,vus_pr,0.731556959995849,7,7
subgroup11,NAB,NAB-Traffic,SCALE_P,anomaly_free_fp_rate,,0,7
subgroup11,NAB,NAB-Traffic,SCALE_P,anomaly_free_fp_count,,0,7
subgroup11,NAB,NAB-Traffic,SCALE_P,anomaly_free_mean_excess,,0,7
subgroup11,NAB,NAB-Traffic,SCALE_P,anomaly_free_score_p95,,0,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,f1_max,0.6880952380952381,7,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,auprc,0.48141997749536614,7,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,vus_pr,0.7196730941702946,7,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,anomaly_free_fp_rate,,0,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,anomaly_free_fp_count,,0,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,anomaly_free_mean_excess,,0,7
subgroup11,NAB,NAB-Traffic,IHP0_NCTP0,anomaly_free_score_p95,,0,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,f1_max,0.7793650793650794,7,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,auprc,0.5000201728950019,7,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,vus_pr,0.7344839145653864,7,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,anomaly_free_fp_rate,,0,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,anomaly_free_fp_count,,0,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,anomaly_free_mean_excess,,0,7
subgroup11,NAB,NAB-Traffic,IHP1_NCTP0,anomaly_free_score_p95,,0,7
