aggregation,family,subgroup,arm,metric,value,n_valid,n_total
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,,0,2
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,,0,2
family3,Yahoo,ALL,FINAL_DEFAULT,f1_max,0.6793475995246707,4,4
family3,Yahoo,ALL,FINAL_DEFAULT,auprc,0.13860571856679582,4,4
family3,Yahoo,ALL,FINAL_DEFAULT,vus_pr,0.8167291850401449,4,4
family3,Yahoo,ALL,FINAL_DEFAULT,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,FINAL_DEFAULT,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,FINAL_DEFAULT,anomaly_free_mean_excess,0.030320254347177802,1,4
family3,Yahoo,ALL,FINAL_DEFAULT,anomaly_free_score_p95,0.036874314027691334,1,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,f1_max,0.5422070751960517,4,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,auprc,0.09028981841956352,4,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,vus_pr,0.7817124001615587,4,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,anomaly_free_mean_excess,0.04371393184550693,1,4
family3,Yahoo,ALL,MATCH_FINAL_POSITION,anomaly_free_score_p95,0.06319490187314364,1,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,f1_max,0.5506611683728038,4,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,auprc,0.12117344899606676,4,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,vus_pr,0.7866884427116849,4,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,anomaly_free_mean_excess,0.03785640999597193,1,4
family3,Yahoo,ALL,MATCH_FINAL_ROW,anomaly_free_score_p95,0.054076784117386624,1,4
family3,Yahoo,ALL,SCALE_P,f1_max,0.6862206190477065,4,4
family3,Yahoo,ALL,SCALE_P,auprc,0.14832504712389846,4,4
family3,Yahoo,ALL,SCALE_P,vus_pr,0.8151997334780908,4,4
family3,Yahoo,ALL,SCALE_P,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,SCALE_P,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,SCALE_P,anomaly_free_mean_excess,0.05015770261964853,1,4
family3,Yahoo,ALL,SCALE_P,anomaly_free_score_p95,0.061623477687438276,1,4
family3,Yahoo,ALL,IHP0_NCTP0,f1_max,0.6528392471989122,4,4
family3,Yahoo,ALL,IHP0_NCTP0,auprc,0.15312298482183995,4,4
family3,Yahoo,ALL,IHP0_NCTP0,vus_pr,0.785305940730246,4,4
family3,Yahoo,ALL,IHP0_NCTP0,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,IHP0_NCTP0,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,IHP0_NCTP0,anomaly_free_mean_excess,0.03990350644817176,1,4
family3,Yahoo,ALL,IHP0_NCTP0,anomaly_free_score_p95,0.04755884048439776,1,4
family3,Yahoo,ALL,IHP1_NCTP0,f1_max,0.6640280327293834,4,4
family3,Yahoo,ALL,IHP1_NCTP0,auprc,0.20082969585075613,4,4
family3,Yahoo,ALL,IHP1_NCTP0,vus_pr,0.8064303773141286,4,4
family3,Yahoo,ALL,IHP1_NCTP0,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,IHP1_NCTP0,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,IHP1_NCTP0,anomaly_free_mean_excess,0.0401743314677083,1,4
family3,Yahoo,ALL,IHP1_NCTP0,anomaly_free_score_p95,0.0483828900619497,1,4
family3,Yahoo,ALL,IHP0_NCTP1,f1_max,0.6642984048963633,4,4
family3,Yahoo,ALL,IHP0_NCTP1,auprc,0.11995675612748827,4,4
family3,Yahoo,ALL,IHP0_NCTP1,vus_pr,0.7954158379221273,4,4
family3,Yahoo,ALL,IHP0_NCTP1,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,IHP0_NCTP1,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,IHP0_NCTP1,anomaly_free_mean_excess,0.030208681150859867,1,4
family3,Yahoo,ALL,IHP0_NCTP1,anomaly_free_score_p95,0.03631841388857903,1,4
family3,Yahoo,ALL,IHP1_NCTP1,f1_max,0.6793475995246707,4,4
family3,Yahoo,ALL,IHP1_NCTP1,auprc,0.13860571856679582,4,4
family3,Yahoo,ALL,IHP1_NCTP1,vus_pr,0.8167291850401449,4,4
family3,Yahoo,ALL,IHP1_NCTP1,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,IHP1_NCTP1,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,IHP1_NCTP1,anomaly_free_mean_excess,0.030320254347177802,1,4
family3,Yahoo,ALL,IHP1_NCTP1,anomaly_free_score_p95,0.036874314027691334,1,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,f1_max,0.5003239580190023,4,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,auprc,0.041380978336998456,4,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,vus_pr,0.8052340395311044,4,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,anomaly_free_mean_excess,0.0031169876503052,1,4
family3,Yahoo,ALL,CTRL_CLS_LEGACY,anomaly_free_score_p95,0.006007569531599633,1,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,f1_max,0.5003239580190023,4,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,auprc,0.04147267955590985,4,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,vus_pr,0.8056469134117958,4,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,0.003117073888783,1,4
family3,Yahoo,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,0.006007569531599633,1,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.501971208359606,4,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.039393185093925476,4,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.7995750255362242,4,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,1.0,1,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_count,1430.3333333333333,1,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_mean_excess,0.005032095101018001,1,4
family3,Yahoo,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_score_p95,0.009087016185124667,1,4
