series_id,family,subgroup,contrast_id,candidate,control,formula,metric,paired_delta
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.0529817948778807
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,0.0380695043075087
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.0930900356299049
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,0.042385470393105
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,-0.0344496063077721
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,0.0017954264498669
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,0.0056586344442519
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,0.0061113925354632
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,-0.0046711369177409
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,-0.000543821858443
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,-0.1666666666666666
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.0590947503701437
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,-0.073637436808577
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,-0.1666666666666666
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.0473401375445013
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,-0.0792100113589008
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,-0.1666666666666666
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.0520112744622422
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,-0.0786661895004577
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_ac20cd,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,-0.0117546128256423
