series_id,family,subgroup,n_points,n_positive,rel_vus_pr,full_vus_pr,delta_vus_pr,eligible,positive_pool,nonpositive_pool,positive_median_target,positive_distance,nonpositive_median_target,nonpositive_distance,delta_rank_ascending,delta_rank_descending,positive_selection_rank,nonpositive_selection_rank
YAHOOA1__real_62,Yahoo,Yahoo-A1,741,7,0.9850743160608268,0.9835556764391152,-0.001518639621711615,True,False,True,0.029174905161014897,,-0.0154133437016728,0.013894704079961184,133,356,,67.0
YAHOOA1__real_63,Yahoo,Yahoo-A1,1439,8,0.0569782897271691,0.1183395248179666,0.0613612350907975,True,True,False,0.029174905161014897,0.032186329929782605,-0.0154133437016728,,392,97,232.0,
YAHOOA1__real_65,Yahoo,Yahoo-A1,1424,17,0.9780352416368048,0.999989522716095,0.021954281079290205,True,True,False,0.029174905161014897,0.007220624081724691,-0.0154133437016728,,299,190,41.0,
YAHOOA1__real_66,Yahoo,Yahoo-A1,1424,21,0.9984926956121004,0.9993638980388228,0.0008712024267223395,True,True,False,0.029174905161014897,0.028303702734292557,-0.0154133437016728,,180,309,204.0,
YAHOOA1__real_67,Yahoo,Yahoo-A1,1423,23,0.0577470883332193,0.8955048861715145,0.8377577978382952,True,True,False,0.029174905161014897,0.8085828926772802,-0.0154133437016728,,487,2,327.0,
YAHOOA1__real_7,Yahoo,Yahoo-A1,1423,61,0.5400814121188696,0.5504084339113081,0.010327021792438495,True,True,False,0.029174905161014897,0.0188478833685764,-0.0154133437016728,,261,228,109.0,
YAHOOA1__real_8,Yahoo,Yahoo-A1,1420,10,0.6799667781476867,0.8862012412826107,0.206234463134924,True,True,False,0.029174905161014897,0.1770595579739091,-0.0154133437016728,,471,18,311.0,
YAHOOA1__real_9,Yahoo,Yahoo-A1,1461,8,0.9639313536487346,0.995232747877113,0.03130139422837841,True,True,False,0.029174905161014897,0.002126489067363513,-0.0154133437016728,,327,162,9.0,
YAHOOA2__synthetic_1,Yahoo,Yahoo-A2,1421,4,0.7451815680964732,0.79767177077303,0.052490202676556796,True,True,False,0.029174905161014897,0.0233152975155419,-0.0154133437016728,,376,113,136.0,
YAHOOA2__synthetic_10,Yahoo,Yahoo-A2,1421,4,0.70078194510857,0.6650098292530668,-0.035772115855503106,True,False,True,0.029174905161014897,,-0.0154133437016728,0.020358772153830307,56,433,,105.0
